Molecule ChEMBL ID,Smiles,pChEMBL Value,Assay ChEMBL ID
CHEMBL3646525,COc1ncc(Nc2nc(CN3CCOCC3)ccc2-c2nc(C)nc(N)n2)cc1F,6.56,CHEMBL3706341
CHEMBL2165012,COc1ccc(Nc2ncc(CN3CC[C@@H](CO)C3)cc2-c2nc(C)nc(N)n2)cn1,6.56,CHEMBL3706341
CHEMBL4755158,C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)nc2c1C[C@@H]1COCCN21,6.57,CHEMBL4732440
CHEMBL5774708,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4c(c1)OC(F)(F)O4)n3CCCO2)C1CC1,6.57,CHEMBL5731104
CHEMBL3646635,COc1cnc(Nc2cnc(Cl)c(N)c2)c(-c2nc(C)nc(N)n2)c1,6.57,CHEMBL3706341
CHEMBL3649433,COc1cc(-c2cnc3ccc(N4C(=O)OC[C@H]4Cc4ccccc4)cn23)cnc1OC,6.57,CHEMBL3705286
CHEMBL5916816,C[C@H](Nc1cc2c3c(c1)nc(-c1ccc(C#N)cn1)n3CCCO2)C(N)=O,6.58,CHEMBL5731104
CHEMBL2165008,COc1ccc(Nc2ncc(CN3CCCC3)cc2-c2nc(C)nc(N)n2)cn1,6.58,CHEMBL3706341
CHEMBL5986647,N#CC1CCCN(c2nc3cc(NC(C(N)=O)C4CC4)cc4c3n2CCCO4)C1,6.58,CHEMBL5731104
CHEMBL3646597,Cc1nc(N)cc(-c2nccnc2Nc2cnc(Cl)c(NS(C)(=O)=O)c2)n1,6.58,CHEMBL3706341
CHEMBL3646454,Cc1nc(-c2cnccc2Nc2cccc3[nH]ncc23)c2nc[nH]c2n1,6.58,CHEMBL3706341
CHEMBL5983495,Cn1nc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)ccc1=O,6.59,CHEMBL5731104
CHEMBL2165014,COc1ccc(Nc2ncc(CN3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,6.59,CHEMBL3706341
CHEMBL3646455,COc1ccc(Nc2ccncc2-c2nc(C)nc3[nH]cnc23)cn1,6.6,CHEMBL3706341
CHEMBL4795990,Cc1nc(NC(=O)NCCc2cn(CC(F)F)cn2)sc1C#Cc1cccnc1,6.6,CHEMBL4679694
CHEMBL4525459,COc1nc(N)nc2c1c(-c1ccc3oc(N)nc3c1)nn2C(C)C,6.6,CHEMBL4410952
CHEMBL2165023,COc1ccc(Nc2ncc(Br)cc2-c2nc(C)nc(N)n2)cn1,6.61,CHEMBL3706341
CHEMBL5902708,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cncnc1)n3CCCO2)C1CC1,6.62,CHEMBL5731104
CHEMBL2165024,COc1ccc(Nc2ncc(C)cc2-c2nc(C)nc(N)n2)cn1,6.62,CHEMBL3706341
CHEMBL2414294,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(C(=O)N3CCN(C(C)(C)C(N)=O)CC3)n(C)c2n1,6.63,CHEMBL2415717
CHEMBL3698287,Cc1c(-c2ccncc2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,6.63,CHEMBL3705734
CHEMBL4741382,C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc2c1C[C@@H]1COCCN21,6.63,CHEMBL4732440
CHEMBL5790643,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccnc4sccc14)n3CCCO2)C1CC1,6.63,CHEMBL5731104
CHEMBL570592,N#Cc1c(N2CCOCC2)sc(C(=O)O)c1-c1ccc(Cl)cc1,6.64,CHEMBL2020200
CHEMBL3698352,Cc1c(-c2cccc3ccccc23)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,6.64,CHEMBL3705734
CHEMBL3701678,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2nc(N)c(N3CCOCC3)cc21,6.66,CHEMBL3705734
CHEMBL5805531,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccnnc1)n3CCCO2)C1CC1,6.66,CHEMBL5731104
CHEMBL3646473,COc1ccc(Nc2ncc(CNC(C)(C)C)cc2-c2nc(C)nc3[nH]cnc23)cn1,6.66,CHEMBL3706341
CHEMBL6055857,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4ncncc4c1)n3CCCO2)C1CC1,6.67,CHEMBL5731104
CHEMBL3357876,COc1ncc(Nc2ncc(C(C)(C)O)cc2-c2nc(C)nc(N)n2)cc1C(F)(F)F,6.68,CHEMBL3706341
CHEMBL6030467,COC(=O)c1cc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)ccc1OC,6.69,CHEMBL5731104
CHEMBL5412958,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2CCc1ccc(Cl)c(Cl)c1,6.7,CHEMBL5327182
CHEMBL2165011,COc1ccc(Nc2ncc(CN3CCC(O)CC3)cc2-c2nc(C)nc(N)n2)cn1,6.7,CHEMBL3706341
CHEMBL5410207,CC(Cc1ccc(Cl)c(Cl)c1)n1c(=O)[nH]c2c(C(N)=O)nc(-c3cccc(O)c3)nc21,6.7,CHEMBL5327182
CHEMBL2071327,CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)cc2)s1,6.7,CHEMBL2072997
CHEMBL3698315,COc1cc2nc(C)c(C)c(N3CC(C)(C)c4ccc(N5CCOCC5)cc43)c2cc1Cl,6.71,CHEMBL3705734
CHEMBL3698353,Cc1c(-c2ccc3c(ccn3C)c2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,6.71,CHEMBL3705734
CHEMBL5889658,CC(C)(C(N)=O)n1cc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cn1,6.71,CHEMBL5731104
CHEMBL3698349,Cc1c(-c2ccccc2F)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.71,CHEMBL3705734
CHEMBL5758150,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccnc4c1OCO4)n3CCCO2)C1CC1,6.71,CHEMBL5731104
CHEMBL3358285,Cc1nc(N)nc(-c2cc(C(C)(C)O)cnc2Nc2cncc(S(C)(=O)=O)c2)n1,6.72,CHEMBL3706341
CHEMBL2418353,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3nc(C(C)(C)O)n(CCO)c3n2)cc1,6.72,CHEMBL2421129
CHEMBL3643921,Cc1cnc(Nc2cccnc2)c(-c2nc(C)nc(N)n2)c1,6.72,CHEMBL3706341
CHEMBL2071334,CC(=O)Nc1nc(C)c(-c2ccc(C(C)=O)cc2)s1,6.72,CHEMBL2072997
CHEMBL5830286,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cccc(OC(F)F)c1)n3CCCO2)C1CC1,6.73,CHEMBL5731104
CHEMBL1668268,Cc1nc(N)c2cc(CN(C)C)cc(C(=O)Nc3ccn[nH]3)c2n1,6.73,CHEMBL1670738
CHEMBL2071335,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccc(S(C)(=O)=O)cc1,6.73,CHEMBL2072997
CHEMBL2165268,Cc1nc(N)nc(-c2cccnc2Nc2cccc3[nH]ccc23)n1,6.73,CHEMBL3706341
CHEMBL3646441,CCNc1cnc(Nc2ccc(OC)nc2)c(-c2nc(C)nc3[nH]cnc23)c1,6.74,CHEMBL3706341
CHEMBL2165038,Cc1nc(-c2cccnc2Nc2cccc3[nH]ccc23)c2[nH]cnc2n1,6.74,CHEMBL3706341
CHEMBL3646495,Cc1nc(N)nc(-c2cccnc2Nc2ccc3oc(C)nc3c2)n1,6.75,CHEMBL3706341
CHEMBL3646527,Cc1ccc(-c2nc(C)nc(N)n2)c(Nc2cncc(F)c2)n1,6.75,CHEMBL3706341
CHEMBL3646496,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cc1F,6.75,CHEMBL3706341
CHEMBL2017651,N#Cc1c(N2CCOCC2)sc(-c2cn[nH]c2)c1-c1ccc(Cl)cc1,6.76,CHEMBL2020200
CHEMBL5219367,Nc1ncc(-c2nc(N3CCOCC3)nc3c2C[C@H]2COCCN32)cn1,6.78,CHEMBL5730841
CHEMBL3646548,Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2cn[nH]c2)n1,6.79,CHEMBL3706341
CHEMBL5851193,C[C@H](Nc1cc2c3c(c1)nc(-c1ccccn1)n3CCCO2)C(N)=O,6.8,CHEMBL5731104
CHEMBL2165034,COc1ccc(Nc2ncc(CN3CCC3)cc2-c2nc(C)nc(N)n2)cn1,6.8,CHEMBL3706341
CHEMBL2414295,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2sc(C(=O)N3CCN(C(C)(C)C(N)=O)CC3)c(C)c2n1,6.8,CHEMBL2415717
CHEMBL5810951,COc1ccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cc1C(N)=O,6.8,CHEMBL5731104
CHEMBL3643931,Cc1nc(N)nc(-c2cccnc2Nc2ccc(Cl)nc2)n1,6.8,CHEMBL3706341
CHEMBL5420950,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2C1CC1c1ccccc1,6.8,CHEMBL5327182
CHEMBL3698301,Cc1c(-c2cccc(=O)[nH]2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,6.81,CHEMBL3705734
CHEMBL3701690,Cc1c(C2CC2)nc2ncccc2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,6.81,CHEMBL3705734
CHEMBL3646565,CC(=O)Nc1ccc(Nc2ncc(Cl)cc2-c2nc(C)nc(N)n2)cc1F,6.81,CHEMBL3706341
CHEMBL5805367,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCc4nccnc4C1)n3CCCO2)C1CC1,6.81,CHEMBL5731104
CHEMBL3698285,Cc1c(-c2cccc(C#N)c2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.81,CHEMBL3705734
CHEMBL2171919,Cc1c(-c2ccccn2)nc2cccc(F)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,6.81,CHEMBL3705734
CHEMBL3698329,Cc1nc2ccc(Cl)cc2c(-n2ccc3c(C#N)cc(N4CCOCC4)cc32)c1C,6.82,CHEMBL3705734
CHEMBL4529672,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)nc(N)nc21,6.82,CHEMBL4410952
CHEMBL1986603,Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1,6.82,CHEMBL2072997
CHEMBL3545097,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,6.82,CHEMBL5533376
CHEMBL3649467,Cc1nc(N)cc(-c2cccnc2Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)n1,6.82,CHEMBL3706341
CHEMBL2165009,COc1ccc(Nc2ncc(CN3CCCCC3)cc2-c2nc(C)nc(N)n2)cn1,6.82,CHEMBL3706341
CHEMBL3646521,COC(=O)Nc1ccc(Nc2ncc(Cl)cc2-c2nc(C)nc(N)n2)cn1,6.82,CHEMBL3706341
CHEMBL3646529,COc1ccc(Nc2ncc(CN3CC[S+]([O-])CC3)cc2-c2nc(C)nc(N)n2)cn1,6.83,CHEMBL3706341
CHEMBL5878029,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cn[nH]c1)n3CCCO2)C1CC1,6.83,CHEMBL5731104
CHEMBL3618232,CCOc1ccc(Nc2nc3ccccn3c2-c2nc(C)nc(N)n2)cn1,6.83,CHEMBL3620380
CHEMBL3646466,COc1ccc(Nc2nc(NC3CCCC3)ncc2-c2nc(C)nc(N)n2)cn1,6.84,CHEMBL3706341
CHEMBL4277247,C[C@@H]1COC[C@H](C)N1c1nc(-c2cnc(N)cc2C(F)F)nc(N2[C@H](C)COC[C@@H]2C)n1,6.85,CHEMBL4276427
CHEMBL5839728,Cn1cc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)ccc1=O,6.86,CHEMBL5731104
CHEMBL5866062,NC(=O)[C@@H]1CCCN1c1cc2c3c(c1)nc(-c1ccc4c(=O)[nH]oc4c1)n3CCCO2,6.86,CHEMBL5731104
CHEMBL3646536,COc1ccc(Nc2ncc(CNCCO)cc2-c2nc(C)nc(N)n2)cn1,6.87,CHEMBL3706341
CHEMBL3356900,CCCn1cnc(CCNC(=O)Nc2nc3ccc(-c4cncc(OC)c4)cc3s2)c1,6.88,CHEMBL3363928
CHEMBL2170094,Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2ccc(C(F)(F)F)nc2)n1,6.89,CHEMBL3706341
CHEMBL2165271,Cc1nc(N)cc(-c2cccnc2Nc2cccc3[nH]ncc23)n1,6.89,CHEMBL3706341
CHEMBL4291199,COC(OC)c1cc(N)ncc1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,6.89,CHEMBL4276427
CHEMBL3643926,Cc1cnc(Nc2cccc3[nH]ccc23)c(-c2nc(C)nc(N)n2)c1,6.89,CHEMBL3706341
CHEMBL5784502,C[C@H](Nc1cc2c3c(c1)nc(-c1ccccc1)n3CCCO2)C(N)=O,6.89,CHEMBL5731104
CHEMBL3649423,Cc1nc2ccccn2c1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(F)cc2)c1,6.9,CHEMBL3705286
CHEMBL3698305,Cc1c(-c2cccc(S(C)(=O)=O)c2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,6.9,CHEMBL3705734
CHEMBL5425386,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2C1CCN(Cc2ccccc2)C1,6.9,CHEMBL5327182
CHEMBL5426911,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2-c1cccs1,6.9,CHEMBL5327182
CHEMBL5426327,Nc1cc(C(F)F)c(-c2nc(C3=CCOCC3)nc(N3C4CCC3COC4)n2)cn1,6.9,CHEMBL5321639
CHEMBL3646508,Cc1nc(N)cc(-c2nc3ccccc3nc2Nc2cccc3[nH]ncc23)n1,6.91,CHEMBL3706341
CHEMBL3646608,COc1ccc(Nc2ncc(C(C)(O)C(F)(F)F)cc2-c2nc(C)nc(N)n2)cn1,6.91,CHEMBL3706341
CHEMBL2071330,CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1,6.91,CHEMBL2072997
CHEMBL3646474,COc1ccc(Nc2ncc(CNC(C)C)cc2-c2nc(C)nc3[nH]cnc23)cn1,6.92,CHEMBL3706341
CHEMBL5922154,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(N1CCn4ncnc4C1)n3CCCO2)C1CC1,6.92,CHEMBL5731104
CHEMBL1822208,Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2[nH]1,6.92,CHEMBL1828259
CHEMBL3643934,Cc1nc(-c2cc(C(F)(F)F)cnc2Nc2cccc3[nH]ncc23)c2nc[nH]c2n1,6.92,CHEMBL3706341
CHEMBL3698333,Cc1nc2c(C)cccc2c(N2CC3(CCOCC3)c3ccc(N4CCOCC4)cc32)c1C,6.92,CHEMBL3705734
CHEMBL3646458,COc1ccc(Nc2nc(N)ncc2-c2nc(C)nc(N)n2)cn1,6.95,CHEMBL3706341
CHEMBL3356899,CCn1cnc(CCNC(=O)Nc2nc3ccc(-c4cncc(OC)c4)cc3s2)c1,6.95,CHEMBL3363928
CHEMBL2171939,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCN(C(C)(C)C(N)=O)CC3)n(C)c2n1,6.96,CHEMBL2415717
CHEMBL3698337,CC1(C)CN(c2c3c(nc4ccc(Cl)cc24)C(C)(C)CC3)c2cc(N3CCOCC3)ccc21,6.96,CHEMBL3705734
CHEMBL2071326,CC(=O)Nc1nc(C)c(-c2ccc(S(N)(=O)=O)cc2)s1,6.96,CHEMBL2072997
CHEMBL3646591,CCC(N)(CC)c1cnc(Nc2cnc(OC)c(F)c2)c(-c2nc(C)nc(N)n2)c1,6.96,CHEMBL3706341
CHEMBL2071340,Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(S(C)(=O)=O)c(F)c3)s2)no1,6.96,CHEMBL2072997
CHEMBL2165269,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1,6.97,CHEMBL3706341
CHEMBL3646443,COc1ccc(Nc2ncc(N3CCOCC3)cc2-c2nc(C)nc3[nH]cnc23)cn1,6.97,CHEMBL3706341
CHEMBL5807226,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccncc1)n3CCCO2)C1CC1,6.97,CHEMBL5731104
CHEMBL2165010,COc1ccc(Nc2ncc(CN3CCOCC3)cc2-c2nc(C)nc(N)n2)cn1,6.98,CHEMBL3706341
CHEMBL3646440,COCCNc1cnc(Nc2ccc(OC)nc2)c(-c2nc(C)nc3[nH]cnc23)c1,6.98,CHEMBL3706341
CHEMBL6017162,NC(=O)c1ccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cn1,6.98,CHEMBL5731104
CHEMBL3356898,COc1cncc(-c2ccc3nc(NC(=O)NCCc4cn(C)cn4)sc3c2)c1,6.98,CHEMBL3363928
CHEMBL3646577,COc1ccc(Nc2ncc(C(C)=O)nc2-c2cc(N)nc(C)n2)cn1,6.99,CHEMBL3706341
CHEMBL5853400,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ncco1)n3CCCO2)C1CC1,6.99,CHEMBL5731104
CHEMBL3646567,CC(=O)Nc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cc1,6.99,CHEMBL3706341
CHEMBL3646463,COc1ccc(Nc2nc(N3CCCCC3)ncc2-c2nc(C)nc(N)n2)cn1,6.99,CHEMBL3706341
CHEMBL1668263,COc1ccc(NC(=O)c2c(C)ccc3c(N)nc(C)nc23)cn1,7.0,CHEMBL1670738
CHEMBL1668273,Cc1nc(N)c2ccc(C)c(C(=O)Nc3ccc(N(C)C)nc3)c2n1,7.0,CHEMBL1670738
CHEMBL1668278,Cc1nc(N)c2ccc(C)c(C(=O)Nc3cn[nH]c3)c2n1,7.0,CHEMBL1670738
CHEMBL3646469,Cc1nc(N)nc(-c2cc(CN3CCOCC3)cnc2Nc2ccc3scnc3c2)n1,7.0,CHEMBL3706341
CHEMBL5405376,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2CC1CCS(=O)(=O)C1,7.0,CHEMBL5327182
CHEMBL3646460,COc1ccc(Nc2nc(N3CCOCC3)ncc2-c2nc(C)nc(N)n2)cn1,7.01,CHEMBL3706341
CHEMBL3646431,COc1ccc(Nc2ncc(CN3CCNCC3)cc2-c2nc(C)nc3[nH]cnc23)cn1,7.01,CHEMBL3706341
CHEMBL3646456,Cc1nc(N)cc(-c2nccnc2Nc2cccc3[nH]ncc23)n1,7.01,CHEMBL3706341
CHEMBL3646616,COc1ncc(Nc2ncc(CN3CCOCC3)cc2-c2nc(C)nc(N)n2)cc1NS(C)(=O)=O,7.01,CHEMBL3706341
CHEMBL3698293,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(-c3cn[nH]c3)cc21,7.02,CHEMBL3705734
CHEMBL3698286,Cc1c(-c2ccccn2)nc2c(F)cccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,7.03,CHEMBL3705734
CHEMBL3646534,COc1ccc(Nc2ncc(CN3CCOC[C@@H]3C)cc2-c2nc(C)nc(N)n2)cn1,7.03,CHEMBL3706341
CHEMBL3646528,COc1ccc(Nc2ncc(CN3CCSCC3)cc2-c2nc(C)nc(N)n2)cn1,7.03,CHEMBL3706341
CHEMBL3701680,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2nc(Cl)c(N3CCOCC3)cc21,7.03,CHEMBL3705734
CHEMBL2171922,Cc1c(-c2ccccc2)nc2ccccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,7.04,CHEMBL3705734
CHEMBL3698360,Cc1c(/C=C/c2ccccc2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,7.05,CHEMBL3705734
CHEMBL4569896,C[C@@H]1COC[C@@H](C)N1c1nc(-c2cnc(N)cc2C(F)(F)F)nc(N2CCOCC2)n1,7.05,CHEMBL4360966
CHEMBL5776602,CS(=O)(=O)c1cc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)ccn1,7.06,CHEMBL5731104
CHEMBL3646610,COc1ccc(Nc2ncc([C@@H](O)C(F)(F)F)cc2-c2nc(C)nc(N)n2)cn1,7.07,CHEMBL3706341
CHEMBL2206919,Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cnc(C)c(NS(C)(=O)=O)c2)n1,7.07,CHEMBL3706341
CHEMBL4461815,CCc1nc(N)nc2c1c(-c1ccc3oc(N)nc3c1)nn2C(C)C,7.07,CHEMBL4410952
CHEMBL2171934,Cc1c(-c2ccccc2)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,7.07,CHEMBL3705734
CHEMBL5757789,NC(=O)[C@@H]1CCCN1c1cc2c3c(c1)nc(-c1ccc(N4CCNC4=O)cc1)n3CCCO2,7.08,CHEMBL5731104
CHEMBL3643938,C=Cc1cnc(Nc2ccc(OC)nc2)c(-c2nc(C)nc3[nH]cnc23)c1,7.08,CHEMBL3706341
CHEMBL4290312,Nc1cc(CO)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,7.09,CHEMBL4276427
CHEMBL5771463,NC(=O)c1ccc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cc1F,7.09,CHEMBL5731104
CHEMBL2171925,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(CO)(CO)c2ccc(N3CCOCC3)cc21,7.09,CHEMBL3705734
CHEMBL3646560,COCCOc1ccc(-c2nc(C)nc(N)n2)c(Nc2cnc(OC)c(F)c2)n1,7.09,CHEMBL3706341
CHEMBL3646520,CC(=O)Nc1ccc(Nc2ncc(Cl)cc2-c2nc(C)nc(N)n2)cn1,7.1,CHEMBL3706341
CHEMBL3646444,COc1ccc(Nc2ncc(N3CCC(O)C3)cc2-c2nc(C)nc3[nH]cnc23)cn1,7.1,CHEMBL3706341
CHEMBL5432314,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2-c1ccc(F)cc1,7.1,CHEMBL5327182
CHEMBL5396108,NC(=O)c1nc(-c2cccc(O)c2)nc2c1[nH]c(=O)n2CCc1ccc2c(c1)OCO2,7.1,CHEMBL5327182
CHEMBL6008185,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4[nH]c(=O)oc4c1)n3CCCO2)C1CC1,7.11,CHEMBL5731104
CHEMBL3639453,COc1ccc(CNc2cnc(Nc3ccc(OC)nc3)c(-c3nc(C)nc4[nH]cnc34)c2)cc1,7.11,CHEMBL3706341
CHEMBL1822214,O=S(=O)(Nc1cc(-c2ccc3sncc3c2)cnc1Cl)c1ccc(F)cc1,7.12,CHEMBL1828259
CHEMBL3646626,COc1ncc(Nc2ncc(C(O)C(C)(C)O)cc2-c2nc(C)nc(N)n2)cc1F,7.12,CHEMBL3706341
CHEMBL5837746,NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1cncs1)n3CCCO2)C1CC1,7.12,CHEMBL5731104
CHEMBL3698314,Cc1c(N2CCCCC2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,7.13,CHEMBL3705734
CHEMBL5838824,COc1ncc(-c2nc3cc(N[C@H](C(N)=O)C4CC4)cc4c3n2CCCO4)cn1,7.13,CHEMBL5731104
CHEMBL3646590,COc1ncc(Nc2ncc(C3(N)CC3)cc2-c2nc(C)nc(N)n2)cc1F,7.13,CHEMBL3706341
CHEMBL5851198,NC(=O)[C@@H]1CCCN1c1cc2c3c(c1)nc(-c1ccc(-c4cn[nH]c4)nc1)n3CCCO2,7.13,CHEMBL5731104
CHEMBL3698330,Cc1nc2ccc(Cl)cc2c(N2CC3(CCOCC3)c3ccc(N4CCOCC4)cc32)c1C,7.14,CHEMBL3705734
CHEMBL3356896,COc1cncc(-c2ccc3nc(NC(=O)NCCC(=O)NCC(F)(F)F)sc3c2)c1,7.14,CHEMBL3363928
CHEMBL3649468,COCCOc1cnc(Nc2cnc(C)c(NS(C)(=O)=O)c2)c(-c2nc(C)nc(N)n2)c1,7.15,CHEMBL3706341
CHEMBL3640005,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2nc(Cl)c(N3CCOCC3)cc21,7.16,CHEMBL3705734
CHEMBL4282438,Nc1cc(CF)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,7.16,CHEMBL4276427
CHEMBL3646562,Cc1nc(N)nc(-c2cc(CN3CCNCC3)cnc2Nc2ccc3[nH]cnc3c2)n1,7.16,CHEMBL3706341
CHEMBL3646614,COc1ncc(Nc2ncc(C(C)N)cc2-c2nc(C)nc(N)n2)cc1F,7.16,CHEMBL3706341
CHEMBL3698304,COc1cccc(-c2nc3cc(F)ccc3c(N3CC4(CCOCC4)c4ccc(N5CCOCC5)cc43)c2C)n1,7.16,CHEMBL3705734
CHEMBL2165022,COc1ccc(Nc2ncc(Cl)cc2-c2nc(C)nc(N)n2)cn1,7.16,CHEMBL3706341
CHEMBL1822209,O=S(=O)(Nc1cc(-c2ccc3nc[nH]c3c2)cnc1Cl)c1ccc(F)cc1,7.17,CHEMBL1828259
CHEMBL3646539,COc1ccc(Nc2ncc(CN3CC4(C3)NC(=O)NC4=O)cc2-c2nc(C)nc(N)n2)cn1,7.17,CHEMBL3706341
CHEMBL3646556,COc1ccc(Nc2nc(-c3cccnc3)ccc2-c2nc(C)nc(N)n2)cn1,7.17,CHEMBL3706341
CHEMBL3646613,Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2ccc3ccncc3c2)n1,7.17,CHEMBL3706341
CHEMBL3646526,COc1ncc(Nc2nc(COCC(F)(F)F)ccc2-c2nc(C)nc(N)n2)cc1F,7.17,CHEMBL3706341
CHEMBL3646533,COc1ccc(Nc2ncc(N3CC[C@@H](O)C3)cc2-c2nc(C)nc3[nH]cnc23)cn1,7.17,CHEMBL3706341
CHEMBL5406219,C[C@@H]1COC[C@H](C)N1c1nc(-c2cnc(N)cc2C(F)F)nc(C2CCOCC2)n1,7.17,CHEMBL5321639
CHEMBL3356901,COc1cncc(-c2ccc3nc(NC(=O)NCCc4cncn4C)sc3c2)c1,7.17,CHEMBL3363928
CHEMBL3701657,Cc1c(-c2ccccn2)nc2ncccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,7.18,CHEMBL3705734
CHEMBL3646486,COc1ccc(Nc2ncc(C(=O)N3CCOCC3)cc2-c2nc(C)nc(N)n2)cn1,7.19,CHEMBL3706341
CHEMBL3701671,Cc1c(N2CCN(S(C)(=O)=O)CC2)nc2cc(F)cc(F)c2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,7.19,CHEMBL3705734
